Generation: 16
1, 9, -212, {'epochs': 229, 'units1': 49, 'act1': 'relu', 'units2': 241, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 204, 'units1': 111, 'act1': 'elu', 'units2': 42, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 108, 'units1': 124, 'act1': 'selu', 'units2': 219, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 229, 'units1': 59, 'act1': 'softmax', 'units2': 21, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 197, 'units1': 107, 'act1': 'sigmoid', 'units2': 293, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 236, 'units1': 111, 'act1': 'softmax', 'units2': 42, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 227, 'units1': 49, 'act1': 'relu', 'units2': 244, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 230, 'units1': 53, 'act1': 'sigmoid', 'units2': 21, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -197, {'epochs': 230, 'units1': 53, 'act1': 'sigmoid', 'units2': 21, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 182, 'units1': 5, 'act1': 'sigmoid', 'units2': 229, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 268, 'units1': 50, 'act1': 'sigmoid', 'units2': 299, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 166, 'units1': 53, 'act1': 'sigmoid', 'units2': 229, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -204, {'epochs': 204, 'units1': 108, 'act1': 'elu', 'units2': 43, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 172, 'units1': 63, 'act1': 'elu', 'units2': 234, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 353, {'epochs': 115, 'units1': 241, 'act1': 'linear', 'units2': 4, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 227, 'units1': 49, 'act1': 'softmax', 'units2': 20, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 236, 'units1': 60, 'act1': 'sigmoid', 'units2': 27, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 227, 'units1': 49, 'act1': 'sigmoid', 'units2': 20, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -209, {'epochs': 184, 'units1': 264, 'act1': 'linear', 'units2': 239, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 200, 'units1': 104, 'act1': 'elu', 'units2': 47, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 175, 'units1': 50, 'act1': 'elu', 'units2': 227, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
